sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
新竹,新竹市,76,細懸浮微粒,普通,1.5,0.42,33,29,28,20,10,12.7,2.4,2.7,28,"2025-02-16 12:00",,0.3,22,27,1,120.97236752,24.8056356,24
新竹,新竹市,72,細懸浮微粒,普通,1.8,0.4,42,31,24,16,9,10.6,1.7,2.4,38,"2025-02-16 13:00",,0.3,20,25,1,120.97236752,24.8056356,24
新竹,新竹市,72,細懸浮微粒,普通,2.5,0.41,49,33,29,24,9,10.4,1.4,2.4,43,"2025-02-16 14:00",,0.3,20,25,1,120.97236752,24.8056356,24
新竹,新竹市,72,細懸浮微粒,普通,2.2,0.43,49,36,33,21,9,10.4,1.4,3.8,35,"2025-02-16 15:00",,0.3,20,26,1,120.97236752,24.8056356,24
新竹,新竹市,70,細懸浮微粒,普通,2.3,0.45,46,38,40,17,10,11.4,1.1,3.8,32,"2025-02-16 16:00",,0.3,19,28,1,120.97236752,24.8056356,24
新竹,新竹市,72,細懸浮微粒,普通,2.2,0.46,44,40,33,23,12,12.9,1.1,4.1,33,"2025-02-16 17:00",,0.4,20,30,1,120.97236752,24.8056356,24
新竹,新竹市,72,細懸浮微粒,普通,1.9,0.5,41,41,38,24,13,13.7,0.8,2.5,45,"2025-02-16 18:00",,0.4,20,32,1,120.97236752,24.8056356,24
新竹,新竹市,73,細懸浮微粒,普通,1.5,0.55,39,43,41,21,13,13.7,0.4,3,35,"2025-02-16 19:00",,0.4,20,34,1,120.97236752,24.8056356,24
新竹,新竹市,79,細懸浮微粒,普通,1.7,0.57,44,44,38,30,12,12.2,0.6,3,42,"2025-02-16 20:00",,0.4,23,34,1,120.97236752,24.8056356,24
新竹,新竹市,83,細懸浮微粒,普通,1.8,0.6,45,45,36,30,12,12.6,0.4,2.7,52,"2025-02-16 21:00",,0.4,24,35,1,120.97236752,24.8056356,24
新竹,新竹市,88,細懸浮微粒,普通,1.7,0.58,50,45,47,35,11,11.6,0.5,3.2,46,"2025-02-16 22:00",,0.5,26,37,1,120.97236752,24.8056356,24
新竹,新竹市,93,細懸浮微粒,普通,1.7,0.54,51,45,43,32,10,10.5,0.5,2.2,48,"2025-02-16 23:00",,0.5,28,38,1,120.97236752,24.8056356,24
新竹,新竹市,91,細懸浮微粒,普通,2,0.47,50,46,27,22,8,8.1,0.3,3.2,40,"2025-02-17 00:00",,0.5,27,37,1,120.97236752,24.8056356,24
新竹,新竹市,88,細懸浮微粒,普通,2.4,0.42,50,46,23,20,7,7.1,0.4,3.5,42,"2025-02-17 01:00",,0.5,26,35,1,120.97236752,24.8056356,24
新竹,新竹市,82,細懸浮微粒,普通,1.4,0.35,55,48,33,20,5,5.7,0.6,3.3,52,"2025-02-17 02:00",,0.5,24,33,1,120.97236752,24.8056356,24
新竹,新竹市,79,細懸浮微粒,普通,1.6,0.32,55,50,38,22,5,5.4,0.7,3.5,44,"2025-02-17 03:00",,0.4,23,33,1,120.97236752,24.8056356,24
新竹,新竹市,80,細懸浮微粒,普通,2.1,0.33,56,52,39,22,5,5.8,0.6,3.6,51,"2025-02-17 04:00",,0.4,23,34,1,120.97236752,24.8056356,24
新竹,新竹市,81,細懸浮微粒,普通,2.3,0.32,56,53,40,24,6,6.3,0.5,3.4,46,"2025-02-17 05:00",,0.4,24,37,1,120.97236752,24.8056356,24
新竹,新竹市,80,細懸浮微粒,普通,2.5,0.33,53,53,36,19,7,7.4,0.6,3.4,52,"2025-02-17 06:00",,0.3,23,37,1,120.97236752,24.8056356,24
新竹,新竹市,81,細懸浮微粒,普通,2.4,0.32,53,53,42,23,9,9.5,0.6,2.7,44,"2025-02-17 07:00",,0.3,23,38,1,120.97236752,24.8056356,24
新竹,新竹市,81,細懸浮微粒,普通,2.6,0.37,51,54,52,24,12,13.7,1.1,3.2,45,"2025-02-17 08:00",,0.3,23,40,1,120.97236752,24.8056356,24
新竹,新竹市,80,細懸浮微粒,普通,2.8,0.37,53,54,60,23,13,14,1.4,3.8,50,"2025-02-17 09:00",,0.3,23,43,2,120.97236752,24.8056356,24
新竹,新竹市,81,細懸浮微粒,普通,2.1,0.33,57,54,69,25,10,11.4,1.4,5.9,43,"2025-02-17 10:00",,0.3,23,48,2,120.97236752,24.8056356,24
新竹,新竹市,81,細懸浮微粒,普通,1.7,0.34,60,55,67,27,9,10.2,1.1,4.5,30,"2025-02-17 11:00",,0.3,24,52,2,120.97236752,24.8056356,24
新竹,新竹市,82,細懸浮微粒,普通,1.8,0.38,63,56,74,,10,12,1.4,4.5,42,"2025-02-17 12:00",,0.3,24,57,2,120.97236752,24.8056356,24
新竹,新竹市,85,細懸浮微粒,普通,1.8,0.38,53,55,,27,10,11.5,1.3,4.1,54,"2025-02-17 13:00",,0.3,25,60,2,120.97236752,24.8056356,24
新竹,新竹市,87,細懸浮微粒,普通,1.7,0.37,56,56,68,28,9,10.8,1.3,4.3,32,"2025-02-17 14:00",,0.3,26,61,2,120.97236752,24.8056356,24
新竹,新竹市,86,細懸浮微粒,普通,1.7,0.37,62,57,66,25,9,10.6,1.1,4.1,28,"2025-02-17 15:00",,0.3,25,62,1,120.97236752,24.8056356,24
新竹,新竹市,86,細懸浮微粒,普通,1.5,0.39,64,58,67,25,10,10.7,1,4,34,"2025-02-17 16:00",,0.3,25,62,1,120.97236752,24.8056356,24
新竹,新竹市,92,細懸浮微粒,普通,1.8,0.43,62,60,62,39,11,12.1,1,3.1,34,"2025-02-17 17:00",,0.3,28,63,1,120.97236752,24.8056356,24
新竹,新竹市,95,細懸浮微粒,普通,1.4,0.49,61,60,67,32,13,13.7,0.8,3.3,30,"2025-02-17 18:00",,0.3,29,64,1,120.97236752,24.8056356,24
新竹,新竹市,105,細懸浮微粒,對敏感族群不健康,1.4,0.53,62,60,76,44,13,14,0.6,3.1,45,"2025-02-17 19:00",,0.4,32,67,1,120.97236752,24.8056356,24
新竹,新竹市,111,細懸浮微粒,對敏感族群不健康,1.6,0.49,63,60,76,41,13,13.3,0.7,2.7,43,"2025-02-17 20:00",,0.4,35,69,1,120.97236752,24.8056356,24
新竹,新竹市,115,細懸浮微粒,對敏感族群不健康,1.5,0.49,62,61,75,44,13,14,0.7,2.1,33,"2025-02-17 21:00",,0.4,36,71,1,120.97236752,24.8056356,24
新竹,新竹市,121,細懸浮微粒,對敏感族群不健康,1.3,0.48,63,62,65,43,12,13.2,0.7,2.6,56,"2025-02-17 22:00",,0.4,38,71,1,120.97236752,24.8056356,24
新竹,新竹市,126,細懸浮微粒,對敏感族群不健康,0.9,0.44,63,62,71,51,10,11.1,0.6,2.5,36,"2025-02-17 23:00",,0.4,40,70,1,120.97236752,24.8056356,24
新竹,新竹市,132,細懸浮微粒,對敏感族群不健康,0.9,0.48,62,62,88,55,10,10.8,0.6,2.5,31,"2025-02-18 00:00",,0.4,43,72,1,120.97236752,24.8056356,24
新竹,新竹市,135,細懸浮微粒,對敏感族群不健康,1.2,0.44,62,62,79,49,10,10.9,0.5,3.5,28,"2025-02-18 01:00",,0.4,44,73,1,120.97236752,24.8056356,24
新竹,新竹市,133,細懸浮微粒,對敏感族群不健康,2.2,0.35,60,62,61,32,10,10.7,1.1,2.8,51,"2025-02-18 02:00",,0.4,43,72,1,120.97236752,24.8056356,24
新竹,新竹市,124,細懸浮微粒,對敏感族群不健康,1.9,0.29,56,61,42,24,7,7.7,1.1,3.2,45,"2025-02-18 03:00",,0.4,40,68,1,120.97236752,24.8056356,24
新竹,新竹市,113,細懸浮微粒,對敏感族群不健康,1.8,0.29,50,60,35,21,7,8,1.1,2.1,18,"2025-02-18 04:00",,0.4,36,60,1,120.97236752,24.8056356,24
新竹,新竹市,99,細懸浮微粒,普通,1.8,0.26,47,58,18,13,7,8.1,1,2.5,30,"2025-02-18 05:00",,0.3,30,50,1,120.97236752,24.8056356,24
新竹,新竹市,89,細懸浮微粒,普通,2,0.23,44,55,14,10,7,8,1,2.4,40,"2025-02-18 06:00",,0.3,26,42,1,120.97236752,24.8056356,24
新竹,新竹市,80,細懸浮微粒,普通,2.2,0.22,40,52,13,11,8,9.7,1.2,2.5,22,"2025-02-18 07:00",,0.3,23,36,1,120.97236752,24.8056356,24
新竹,新竹市,73,細懸浮微粒,普通,2.5,0.28,34,49,15,10,13,14.3,1.4,2.9,33,"2025-02-18 08:00",,0.2,21,31,1,120.97236752,24.8056356,24
新竹,新竹市,69,細懸浮微粒,普通,2.3,0.28,34,45,17,12,14,15.9,1.8,3.3,28,"2025-02-18 09:00",,0.2,19,28,1,120.97236752,24.8056356,24
新竹,新竹市,65,細懸浮微粒,普通,2.4,0.28,32,42,21,10,15,17.9,2.5,3.2,36,"2025-02-18 10:00",,0.2,18,28,1,120.97236752,24.8056356,24
新竹,新竹市,60,細懸浮微粒,普通,2,0.26,34,39,13,9,14,17.4,2.9,3.8,30,"2025-02-18 11:00",,0.2,16,25,1,120.97236752,24.8056356,24
新竹,新竹市,55,細懸浮微粒,普通,2.1,0.25,37,38,16,11,12,15,3,3.4,33,"2025-02-18 12:00",,0.2,14,22,1,120.97236752,24.8056356,24
新竹,新竹市,48,,良好,2.1,0.24,38,37,12,9,11,14.4,3,4.2,27,"2025-02-18 13:00",,0.2,12,19,1,120.97236752,24.8056356,24
新竹,新竹市,42,,良好,2.5,0.21,40,36,12,6,10,12.4,2.8,3,29,"2025-02-18 14:00",,0.2,10,16,1,120.97236752,24.8056356,24
新竹,新竹市,35,,良好,2.6,0.21,39,36,13,3,10,12.5,2.4,3.1,40,"2025-02-18 15:00",,0.2,9,14,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,2.5,0.21,36,36,26,4,12,14.1,2.2,4,28,"2025-02-18 16:00",,0.2,7,15,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,2.2,0.23,36,37,21,7,12,14,2.2,3.3,30,"2025-02-18 17:00",,0.2,7,17,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,2,0.27,34,37,18,9,13,14.6,1.8,3.8,28,"2025-02-18 18:00",,0.2,7,17,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,2.4,0.28,34,37,13,6,13,14.8,1.4,3.2,40,"2025-02-18 19:00",,0.2,7,17,1,120.97236752,24.8056356,24
新竹,新竹市,34,,良好,2.2,0.28,36,37,10,13,11,12.1,1.2,3.1,48,"2025-02-18 20:00",,0.2,8,15,1,120.97236752,24.8056356,24
新竹,新竹市,34,,良好,2,0.27,37,37,8,8,10,11,1.1,3.5,35,"2025-02-18 21:00",,0.2,8,13,2,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,2.2,0.26,38,36,7,4,9,10,1.1,2.8,28,"2025-02-18 22:00",,0.2,8,11,2,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,2.4,0.24,39,36,6,3,7,8.5,1.1,2.9,29,"2025-02-18 23:00",,0.2,7,10,2,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,1.5,0.19,46,42,4,6,4,3.9,0.4,1.7,36,"2025-02-19 05:00",,0.2,6,7,2,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,1.5,0.18,46,41,8,8,4,4.1,0.2,2.2,55,"2025-02-19 04:00",,0.2,6,8,2,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,2.6,0.23,39,37,3,2,7,8.1,1.1,2.8,43,"2025-02-19 00:00",,0.2,5,9,2,120.97236752,24.8056356,24
新竹,新竹市,40,,良好,1,0.31,38,44,7,7,11,11.6,0.5,1.3,60,"2025-02-19 08:00",,0.2,6,6,2,120.97236752,24.8056356,24
新竹,新竹市,34,,良好,2.7,0.21,42,37,8,3,6,7.6,1.1,3.1,40,"2025-02-19 01:00",,0.2,4,9,2,120.97236752,24.8056356,24
新竹,新竹市,35,,良好,1.9,0.19,44,39,7,7,6,6.1,0.6,2.6,49,"2025-02-19 02:00",,0.2,5,8,2,120.97236752,24.8056356,24
新竹,新竹市,37,,良好,1.7,0.18,45,40,8,6,5,5,0.3,2.2,57,"2025-02-19 03:00",,0.2,5,8,2,120.97236752,24.8056356,24
新竹,新竹市,40,,良好,1.4,0.2,44,43,9,4,5,5.5,0.4,1.6,47,"2025-02-19 06:00",,0.2,6,7,2,120.97236752,24.8056356,24
新竹,新竹市,40,,良好,1.2,0.22,43,44,8,7,7,7.2,0.5,1.9,47,"2025-02-19 07:00",,0.2,6,7,2,120.97236752,24.8056356,24
新竹,新竹市,40,,良好,1.2,0.32,37,43,12,5,13,13.5,0.8,1.7,68,"2025-02-19 09:00",,0.2,5,8,2,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,1.2,0.3,36,42,11,8,13,14.6,1.2,2.5,40,"2025-02-19 10:00",,0.2,6,8,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,1.3,0.26,37,41,19,10,13,14.7,1.5,2.6,44,"2025-02-19 11:00",,0.2,7,10,1,120.97236752,24.8056356,24
新竹,新竹市,37,,良好,,,,40,11,8,,,,3.4,44,"2025-02-19 12:00",,0.2,7,11,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,1.4,0.22,43,40,11,4,7,9,1.6,2.8,63,"2025-02-19 13:00",,0.2,7,11,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,1.4,0.22,44,40,8,8,7,8.4,1.7,2,65,"2025-02-19 14:00",,0.2,7,10,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,1.7,0.23,43,40,11,6,8,9.6,1.5,2.7,33,"2025-02-19 15:00",,0.2,7,10,1,120.97236752,24.8056356,24
新竹,新竹市,37,,良好,1.5,0.24,40,40,10,6,9,10.5,1.3,2,54,"2025-02-19 16:00",,0.2,6,10,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,1.4,0.26,36,40,10,6,10,11.8,1.2,1.8,54,"2025-02-19 17:00",,0.2,6,10,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,1.4,0.32,30,39,11,5,15,16.2,0.9,2.2,28,"2025-02-19 18:00",,0.2,6,10,1,120.97236752,24.8056356,24
新竹,新竹市,40,,良好,1,0.37,26,38,11,6,17,18,0.7,1.8,36,"2025-02-19 19:00",,0.2,6,10,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,1.2,0.35,28,36,7,8,15,15.7,0.6,0.9,52,"2025-02-19 20:00",,0.2,6,10,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,0.9,0.34,27,34,9,11,15,15.5,0.6,1.5,42,"2025-02-19 21:00",,0.2,7,10,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,1.3,0.37,25,32,8,8,17,17.5,0.6,0.8,82,"2025-02-19 22:00",,0.3,8,9,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,1.1,0.33,26,30,11,9,14,14.5,0.5,0.4,57,"2025-02-19 23:00",,0.3,8,9,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,0.9,0.37,18,27,10,9,16,16.7,0.6,0.8,74,"2025-02-20 00:00",,0.3,8,9,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,1.2,0.32,19,25,14,9,15,15.8,0.5,0.3,67,"2025-02-20 01:00",,0.3,8,10,1,120.97236752,24.8056356,24
新竹,新竹市,45,,良好,1.6,0.34,8,22,17,15,19,20.9,1.5,0.5,173,"2025-02-20 02:00",,0.3,9,11,1,120.97236752,24.8056356,24
新竹,新竹市,48,,良好,1.6,0.33,2,19,21,14,20,23,2.6,0.8,152,"2025-02-20 03:00",,0.3,10,13,1,120.97236752,24.8056356,24
新竹,新竹市,46,,良好,1.4,0.3,4,16,26,16,18,20.1,1.8,0.3,45,"2025-02-20 04:00",,0.3,12,16,1,120.97236752,24.8056356,24
新竹,新竹市,53,細懸浮微粒,普通,1.8,0.3,10,14,25,19,16,17.2,1.2,0.5,139,"2025-02-20 05:00",,0.3,13,18,1,120.97236752,24.8056356,24
新竹,新竹市,56,細懸浮微粒,普通,2,0.33,8,12,37,19,17,18.5,1.5,0.9,185,"2025-02-20 06:00",,0.3,14,21,1,120.97236752,24.8056356,24
新竹,新竹市,65,細懸浮微粒,普通,1.3,0.35,8,10,47,31,17,18.5,1.7,0.8,82,"2025-02-20 07:00",,0.3,18,26,1,120.97236752,24.8056356,24
新竹,新竹市,71,細懸浮微粒,普通,1.4,0.46,11,9,51,28,17,20.6,3.4,1.1,134,"2025-02-20 08:00",,0.3,20,31,1,120.97236752,24.8056356,24
新竹,新竹市,79,細懸浮微粒,普通,1.6,0.47,9,7,50,35,19,25.3,6.2,0.3,117,"2025-02-20 09:00",,0.3,23,36,1,120.97236752,24.8056356,24
新竹,新竹市,87,細懸浮微粒,普通,1.5,0.49,16,8,50,33,18,26.7,8.5,1.6,41,"2025-02-20 10:00",,0.3,26,39,1,120.97236752,24.8056356,24
新竹,新竹市,88,細懸浮微粒,普通,1.7,0.41,29,12,50,28,18,23,5,2,291,"2025-02-20 11:00",,0.3,26,41,1,120.97236752,24.8056356,24
新竹,新竹市,89,細懸浮微粒,普通,1.9,0.32,42,17,38,24,12,14.1,2.4,1.5,307,"2025-02-20 12:00",,0.3,26,41,1,120.97236752,24.8056356,24
新竹,新竹市,86,細懸浮微粒,普通,2.5,0.32,48,21,37,22,12,14.2,2.1,1.8,10,"2025-02-20 13:00",,0.3,25,40,1,120.97236752,24.8056356,24
新竹,新竹市,79,細懸浮微粒,普通,2,0.26,52,27,27,14,9,10.2,1.3,1.4,24,"2025-02-20 14:00",,0.3,23,38,1,120.97236752,24.8056356,24
新竹,新竹市,75,細懸浮微粒,普通,1.7,0.25,50,32,29,16,8,9,1.3,2.7,41,"2025-02-20 15:00",,0.3,21,35,1,120.97236752,24.8056356,24
新竹,新竹市,67,細懸浮微粒,普通,1.7,0.24,48,37,18,3,7,8.2,1.1,1.1,217,"2025-02-20 16:00",,0.3,18,33,1,120.97236752,24.8056356,24
新竹,新竹市,61,細懸浮微粒,普通,1.4,0.29,43,41,19,8,9,10.4,1,1.5,40,"2025-02-20 17:00",,0.3,16,30,1,120.97236752,24.8056356,24
新竹,新竹市,58,細懸浮微粒,普通,1.3,0.29,41,44,16,10,11,11.4,0.8,1.8,31,"2025-02-20 18:00",,0.2,15,28,1,120.97236752,24.8056356,24
新竹,新竹市,54,細懸浮微粒,普通,1.2,0.27,42,46,20,11,8,9,0.6,2.4,33,"2025-02-20 19:00",,0.2,14,26,1,120.97236752,24.8056356,24
新竹,新竹市,54,細懸浮微粒,普通,1.1,0.26,43,46,21,9,7,7.5,0.5,2.7,41,"2025-02-20 20:00",,0.2,14,25,1,120.97236752,24.8056356,24
新竹,新竹市,50,,良好,1.1,0.21,43,45,7,7,6,6.5,0.6,3.3,43,"2025-02-20 21:00",,0.2,12,21,1,120.97236752,24.8056356,24
新竹,新竹市,44,,良好,1.1,0.2,41,44,8,7,6,7.1,0.5,2.8,29,"2025-02-20 22:00",,0.2,11,19,1,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,1.1,0.2,40,43,10,8,7,7.7,0.7,2.7,30,"2025-02-20 23:00",,0.2,10,16,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,1.2,0.18,41,42,12,11,6,6.4,0.5,1.9,46,"2025-02-21 00:00",,0.2,9,13,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,1.1,0.18,44,42,7,6,4,4.6,0.4,2,43,"2025-02-21 01:00",,0.2,8,12,1,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,0.9,0.19,44,42,0,4,4,4.3,0.7,2.6,35,"2025-02-21 02:00",,0.2,8,10,1,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,1.2,0.18,43,42,0,8,4,4.1,0.5,2,35,"2025-02-21 03:00",,0.2,7,8,1,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,1.3,0.17,43,42,3,6,3,3.6,0.5,1.8,33,"2025-02-21 04:00",,0.1,7,6,1,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,1.7,0.19,41,42,5,5,4,4.2,0.5,1.4,33,"2025-02-21 05:00",,0.1,7,5,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,1.6,0.2,41,42,5,5,4,4.6,0.7,2.9,37,"2025-02-21 06:00",,0.1,7,5,1,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,1.8,0.19,41,42,13,6,5,5.3,0.6,2.5,52,"2025-02-21 07:00",,0.1,6,7,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,1.8,0.25,38,42,9,5,8,8.6,0.6,3.3,31,"2025-02-21 08:00",,0.1,6,7,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,2.2,0.26,39,41,8,2,9,9.8,0.7,3.8,34,"2025-02-21 09:00",,0.2,5,7,1,120.97236752,24.8056356,24
新竹,新竹市,37,,良好,1.9,0.24,38,40,7,3,10,11.1,1.3,3.5,27,"2025-02-21 10:00",,0.2,5,7,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,2.1,0.24,38,40,6,5,10,11.5,1.3,3.3,35,"2025-02-21 11:00",,0.2,5,6,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,2.2,0.24,39,39,10,4,10,11.1,1.3,3.9,36,"2025-02-21 12:00",,0.2,4,6,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,1.5,0.24,42,40,7,6,8,9.7,1.4,4,30,"2025-02-21 13:00",,0.2,5,6,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,1.5,0.23,43,40,6,8,8,9.1,1.2,4.4,29,"2025-02-21 14:00",,0.2,6,6,1,120.97236752,24.8056356,24
新竹,新竹市,37,,良好,1.3,0.23,45,40,11,7,7,8.5,1.1,3.9,28,"2025-02-21 15:00",,0.2,6,8,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,1.3,0.24,45,41,9,3,7,8.3,0.9,4.4,34,"2025-02-21 16:00",,0.2,5,8,1,120.97236752,24.8056356,24
