datacreationdate,pollutant,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,co_8hr,pm2.5_avg,pm10_avg,so2_avg,AirPressure,AirTemperature,RelativeHumidity,WindSpeed,Precipitation,SunshineDuration
2025/2/1 01:00,1,0.7,0.21,26,23,2,7,8,8.5,0.4,0.3,18,22,1,1012.7,17,97,1.8,1,
2025/2/1 02:00,1,1.4,0.18,29,23,0,3,5,5.9,0.7,0.3,14,16,1,1012.3,17.1,97,1.6,1,
2025/2/1 03:00,0,1.1,0.17,29,24,0,2,5,5.5,0.3,0.2,11,11,1,1011.7,17.1,98,1.1,T,
2025/2/1 04:00,0,1.1,0.16,28,25,0,5,3,3.8,0.5,0.2,9,8,1,1011.1,17,98,1,0,
2025/2/1 06:00,0,1.2,0.17,22,24,1,3,5,5.1,0.5,0.2,8,6,1,1011,17.1,98,0.4,0,
2025/2/1 05:00,0,1.4,0.17,24,24,1,4,4,4.4,0.3,0.2,8,6,1,1010.7,17.2,98,0.3,0,0
2025/2/1 07:00,0,1.2,0.21,18,25,3,2,6,6.8,0.4,0.1,7,6,1,1010.7,17.4,95,0.6,0,0
2025/2/1 08:00,0,1.5,0.32,13,24,2,3,11,13.6,2.2,0.1,6,5,1,1011.2,17.5,94,0.7,0,0.2
2025/2/1 09:00,0,1.6,0.27,19,23,11,11,10,13,3.2,0.2,6,5,1,1011.5,18.4,93,0.2,0,0.6
2025/2/1 10:00,0,1.6,0.29,19,22,14,9,12,15.1,3.6,0.2,6,6,1,1011.8,19.3,87,0.4,0,0
2025/2/1 11:00,0,1.9,0.41,18,20,17,12,14,19.2,4.8,0.2,7,8,1,1010.9,21.3,81,0.3,0,0.1
2025/2/1 12:00,0,1.9,0.34,28,20,16,16,11,16.1,4.6,0.2,9,10,1,1009.8,23.7,74,0.9,0,0.9
2025/2/1 13:00,0,2,0.27,34,21,21,18,8,10.4,2.3,0.2,10,12,1,1009.2,22.4,77,0.6,0,0.5
2025/2/1 14:00,1,2.1,0.31,40,24,22,22,8,10.4,1.8,0.3,13,14,1,1008.6,21.8,78,2.1,0,0.3
2025/2/1 15:00,1,2.4,0.24,44,27,21,16,7,8.1,1.3,0.3,14,15,1,1007.9,20.2,81,4.2,0,0.7
2025/2/1 16:00,1,2,0.23,43,31,21,13,6,7.4,1,0.2,14,16,1,1008.2,19.6,84,3.3,0,0.5
2025/2/1 17:00,1,1.4,0.21,41,33,19,17,6,6.9,0.7,0.2,14,17,1,1008.6,18.6,89,1.6,0,0
2025/2/1 18:00,1,1.6,0.28,38,36,28,14,7,7.4,0.4,0.2,14,19,1,1008.6,18.2,93,4.3,0,0
2025/2/1 19:00,1,1.4,0.34,35,38,26,15,7,7.2,0.6,0.2,14,20,1,1010.2,17.3,94,3.9,1,0
2025/2/1 20:00,1,1.3,0.31,38,39,8,18,5,5.8,0.4,0.2,16,19,1,1010.8,16.5,93,3.8,1,
2025/2/1 21:00,1,1.2,0.3,35,39,12,5,7,7.6,0.5,0.2,14,18,1,1011.1,16.2,93,4.2,T,
2025/2/1 22:00,1,1.5,0.27,35,39,14,7,6,6.4,0.5,0.2,13,16,1,1011.5,15.9,93,3.9,1,
2025/2/1 23:00,0,1.5,0.26,35,38,8,8,5,5.4,0.4,0.2,12,14,1,1011.9,15.5,93,4.2,T,
2025/2/2 00:00,0,1.5,0.23,35,37,4,8,5,5.5,0.4,0.2,10,13,1,1011.8,15.3,94,1.7,0.5,
2025/2/2 01:00,0,1.8,0.22,35,36,7,5,5,5.3,0.4,0.2,10,12,1,1011.9,15.6,93,1.5,0,
2025/2/2 02:00,0,0.8,0.2,35,35,9,5,5,5,0.2,0.2,9,10,1,1011.4,15.6,94,1.7,0.5,
2025/2/2 03:00,0,0.8,0.21,32,35,9,7,5,5.5,0.2,0.2,8,10,1,1011.3,15.7,96,0.6,1,
2025/2/2 04:00,0,1,0.21,31,34,5,6,7,6.9,0.3,0.2,8,9,1,1011,15.6,97,1.3,1,
2025/2/2 05:00,0,1.2,0.18,40,35,6,8,4,3.9,0.4,0.2,8,9,1,1010.9,14.9,96,2.5,0,
2025/2/2 06:00,0,0.9,0.18,40,35,8,7,3,3.2,0.1,0.2,8,8,1,1011.5,15,96,2.9,0,0
2025/2/2 07:00,0,0.9,0.18,40,36,8,6,3,3.2,0.1,0.2,7,7,1,1012.6,14.8,96,3.1,T,0
2025/2/2 08:00,0,1,0.2,39,36,16,9,4,3.7,0.2,0.1,7,9,1,1013,14.9,96,2.4,0,0
2025/2/2 09:00,0,1.3,0.22,37,37,14,5,5,4.9,0.2,0.1,7,10,1,1013.1,14.8,95,2.3,T,0
2025/2/2 10:00,0,1.1,0.22,37,37,16,1,5,5.2,0.4,0.2,6,11,1,1013.3,15.1,94,3.2,0,0
2025/2/2 11:00,0,1.5,0.23,37,38,16,5,6,6,0.4,0.2,6,12,1,1012.5,15.3,92,3.3,T,0
2025/2/2 12:00,0,1.2,0.24,36,38,14,12,6,6.4,0.6,0.2,6,12,1,1011.7,15.7,92,2.4,0,0
2025/2/2 13:00,0,1.1,0.23,37,38,16,12,5,6.2,0.8,0.2,7,13,1,1010.8,15.9,91,1.9,0,0
2025/2/2 14:00,0,1.1,0.24,38,38,13,13,6,6,0.5,0.2,9,13,1,1010.1,15.7,92,2.7,0,0
2025/2/2 15:00,0,1.3,0.25,37,37,20,12,6,6.5,0.4,0.2,10,14,1,1010,15.8,92,2.3,0.5,0
2025/2/2 16:00,0,1.1,0.25,38,37,15,10,6,6.6,0.5,0.2,10,14,1,1010.5,15.3,93,3.2,0,0
2025/2/2 17:00,0,1.1,0.25,38,37,19,11,6,6.1,0.3,0.2,10,15,1,1011.6,15,94,3.3,T,0
2025/2/2 18:00,0,1,0.26,37,37,16,7,6,6.5,0.2,0.2,9,16,1,1011.9,14.9,95,2.2,T,0
2025/2/2 19:00,0,1.1,0.28,35,37,14,8,8,8.3,0.4,0.2,9,15,1,1012.2,14.9,95,2.2,T,0
2025/2/2 20:00,0,1.1,0.27,36,37,16,12,7,7.4,0.3,0.2,9,16,1,1012.9,15,95,3,T,
2025/2/2 21:00,0,1.2,0.28,35,37,17,10,7,7.7,0.3,0.2,9,15,1,1013,15.1,95,3,T,
2025/2/2 22:00,0,1.4,0.28,37,37,8,9,6,6.5,0.1,0.2,10,14,1,1013.1,15.3,96,2.4,T,
2025/2/2 23:00,0,1.2,0.26,37,37,12,12,6,5.9,0,0.2,11,14,1,1013.4,15.7,95,1.7,0,
2025/2/3 00:00,0,1.3,0.24,36,36,12,11,6,6,0.2,0.2,10,13,1,1013.2,15.7,93,2.4,0,
2025/2/3 01:00,0,1.2,0.23,41,37,8,8,4,4.1,0.1,0.2,10,12,1,1013.3,15.2,94,3,T,
2025/2/3 02:00,0,2.2,0.24,43,38,4,6,3,4.1,0.7,0.2,9,11,1,1013.5,14.8,95,2.6,T,
2025/2/3 03:00,0,2.3,0.24,43,38,2,5,3,3.9,0.6,0.2,8,9,1,1013.3,14.6,96,2.9,T,
2025/2/3 04:00,0,2.3,0.23,43,39,6,7,3,4.1,0.7,0.2,8,8,1,1013.4,14.5,96,2.8,0.5,
2025/2/3 07:00,0,2.3,0.23,44,42,5,7,4,4.4,0.5,0.2,8,6,1,1013.8,14.5,96,2,T,
2025/2/3 08:00,0,2.7,0.23,41,43,10,10,4,5.3,0.7,0.2,8,7,1,1014.7,14.3,95,2.7,T,0
2025/2/3 09:00,0,3,0.26,39,43,6,9,5,6.2,0.8,0.2,8,6,1,1015.6,13.4,95,3.4,T,0
2025/2/3 10:00,0,3.1,0.3,36,42,15,11,7,7.6,0.7,0.2,9,8,1,1016.8,12.9,94,3.8,0.5,0
2025/2/3 11:00,0,3.4,0.32,34,41,19,18,8,8.6,0.9,0.2,10,10,1,1017.9,12.5,93,3.9,T,0
2025/2/3 12:00,0,3.3,0.32,34,39,13,14,8,9.2,1.2,0.2,11,10,1,1017.9,12.1,93,3,T,0
2025/2/3 13:00,0,3.4,0.32,34,38,9,10,7,8.3,1,0.2,11,11,1,1017.4,12.2,93,3.5,0.5,0
2025/2/3 14:00,0,3.6,0.33,34,37,18,12,7,7.5,0.8,0.2,12,12,2,1016.9,12.3,92,4.2,T,0
2025/2/3 15:00,0,3.4,0.36,34,36,16,15,7,7.9,0.9,0.3,12,12,2,1016.3,12.3,92,3.2,T,0
2025/2/3 16:00,1,3.5,0.36,39,36,23,20,7,7.7,0.9,0.3,13,14,2,1016.6,12,90,3.7,T,0
2025/2/3 17:00,0,3.5,0.37,41,36,18,5,7,8.3,0.8,0.3,12,15,2,1017.4,11,92,3.6,0.5,0
2025/2/3 18:00,1,3.5,0.43,41,37,20,22,7,7.9,0.9,0.3,14,16,2,1017.9,10.4,92,3.9,T,0
2025/2/3 19:00,1,3.5,0.45,39,37,28,24,8,9.3,0.7,0.3,16,19,2,1018.7,10.7,88,4,T,0
2025/2/3 20:00,1,3.5,0.42,39,38,28,27,8,9,0.7,0.3,18,20,2,1019.1,10.3,91,3.6,T,0
2025/2/3 21:00,1,3.6,0.42,40,38,29,21,8,8.2,0.7,0.3,20,22,2,1019.2,10.8,88,3.5,T,0
2025/2/3 22:00,1,3.6,0.43,39,39,24,23,8,8.8,0.7,0.4,21,23,2,1019.4,11.3,87,2.3,T,
2025/2/3 23:00,1,3.6,0.4,40,40,24,20,7,7.3,0.6,0.4,20,23,2,1019.9,11.5,89,2.8,T,
2025/2/4 00:00,1,3.5,0.31,41,40,25,20,5,5.8,0.8,0.4,20,23,3,1020,11.6,89,2.4,T,
2025/2/4 01:00,1,3.4,0.27,42,40,28,19,5,5.4,0.6,0.3,20,24,3,1020.2,11,92,3.6,T,
2025/2/4 02:00,1,1.8,0.26,43,40,30,21,5,5.1,0.4,0.3,20,25,3,1020.3,11.2,90,4.3,T,
2025/2/4 03:00,1,1.7,0.26,44,41,28,19,4,4.4,0.5,0.3,20,26,3,1021.1,11.1,83,4.2,T,
2025/2/4 04:00,1,1.9,0.25,43,41,25,15,4,4.2,0.4,0.3,19,26,3,1021.1,10.3,87,3.7,0.5,
2025/2/4 05:00,1,1.9,0.25,42,42,30,16,4,5,0.4,0.3,19,27,3,1020.7,10.2,86,4.4,T,
2025/2/4 06:00,1,1.9,0.27,40,42,24,18,6,5.8,0.3,0.2,19,26,3,1020.5,10.6,82,3.4,0,
2025/2/4 07:00,1,2,0.29,38,42,32,17,6,6.9,0.3,0.2,18,27,3,1020.2,10.7,79,2.8,0,
2025/2/4 08:00,1,2.1,0.35,36,41,37,23,9,10.1,0.7,0.2,19,29,2,1020.2,10.7,76,2.8,0,0
2025/2/4 09:00,1,2,0.39,37,40,50,36,10,11.9,1.5,0.2,22,32,2,1020.3,10.5,78,2.8,0,0
2025/2/4 10:00,1,1.8,0.37,39,40,50,29,10,12.2,2.3,0.3,24,37,2,1020.8,11.4,65,3.5,0.5,0.6
2025/2/4 11:00,1,1.6,0.36,42,40,42,28,9,11.6,2.3,0.3,25,39,2,1020.7,13,61,2.2,0,1
2025/2/3 05:00,0,2.4,0.23,43,40,5,5,3,4,0.5,0.2,7,7,1,1020,13.9,55,4.2,0,1
2025/2/3 06:00,0,2.4,0.23,44,41,6,8,4,4.4,0.7,0.2,7,6,1,1019.7,15.2,49,3.3,0,1
2025/2/4 12:00,1,0.9,0.34,45,40,43,28,9,10.8,2.1,0.3,26,40,2,1018.7,16,46,5.2,0,1
2025/2/4 13:00,1,0.4,0.3,48,41,48,23,6,7.4,1.3,0.3,25,41,2,1017.1,15.7,48,5.4,0,1
2025/2/4 14:00,1,0.3,0.31,49,42,46,29,6,7.1,1.2,0.3,25,41,2,1016.9,15.6,48,4.2,0,1
2025/2/4 15:00,1,0.7,0.31,50,43,47,24,6,7.1,1.1,0.3,25,42,2,1017,14.7,50,3.8,0,1
2025/2/4 16:00,1,0.3,0.33,49,45,63,28,6,7.1,0.8,0.3,25,46,2,1018.2,13.7,52,5.5,0,1
2025/2/4 17:00,1,0.2,0.36,48,46,47,32,8,8.4,0.9,0.3,27,47,2,1018.6,13,56,4.5,0,0.7
2025/2/4 18:00,1,0.6,0.38,45,47,46,32,9,9.7,0.5,0.3,28,48,1,1018.4,12.1,57,2.9,0,0
2025/2/4 19:00,1,0.8,0.4,44,47,46,31,10,10.4,0.5,0.3,30,48,1,1018.4,11.8,56,2.4,0,0
2025/2/4 20:00,1,1.3,0.39,42,47,42,30,11,11.6,0.5,0.3,30,46,1,1018.9,11.7,56,1.6,0,
2025/2/4 21:00,1,1.7,0.4,40,46,41,30,12,12.8,0.4,0.3,30,45,1,1018.7,11.6,53,2.8,0,
2025/2/4 22:00,1,2.1,0.33,43,45,34,21,11,11.5,0.4,0.3,28,43,1,1018.4,11.8,50,1.9,0,
2025/2/4 23:00,1,1.7,0.29,44,44,24,19,8,8.9,0.3,0.3,26,39,1,1017.7,12.1,48,2.5,0,
2025/2/5 00:00,1,1.4,0.29,43,44,21,20,8,8.2,0.3,0.3,24,36,1,1017.6,12.3,49,2,0,
2025/2/5 02:00,1,2,0.27,43,43,24,14,6,6.3,0.5,0.3,22,31,1,1017.7,12.5,48,2.1,0,
2025/2/5 01:00,1,1.5,0.28,44,43,26,,7,7,0.4,0.3,23,33,1,1017.3,12.5,51,1.1,0,
2025/2/5 04:00,1,1.8,0.25,42,42,23,20,6,7.2,0.7,0.2,21,28,1,1016.9,12.5,52,1,0,
2025/2/5 03:00,1,1.8,0.26,42,42,23,18,6,7,0.6,0.3,21,29,1,1017.1,12.3,54,1.1,0,
2025/2/5 05:00,1,2,0.25,41,42,22,21,6,7.1,0.5,0.2,21,27,1,1017.1,12.1,57,0.8,0,
2025/2/5 06:00,1,2.2,0.27,38,42,29,15,8,7.9,0.4,0.2,20,26,1,1016.9,12,60,1.7,0,0
2025/2/5 07:00,1,2.2,0.29,34,41,27,21,12,12.5,0.6,0.2,20,26,1,1017.2,12.2,61,1.6,0,0
2025/2/5 08:00,1,2.2,0.36,31,39,30,19,15,17,1.5,0.2,19,27,1,1016.9,13.1,59,1.3,0,0
2025/2/5 09:00,1,2.1,0.43,31,38,33,19,17,20.1,2.7,0.2,19,28,1,1016.9,14.7,54,1.9,0,0.3
2025/2/5 10:00,1,2.1,0.33,36,37,26,13,13,16.1,2.8,0.3,18,27,1,1016.6,16.4,48,2.2,0,0.3
2025/2/5 11:00,1,1.6,0.31,39,36,26,11,11,12.9,2.3,0.3,16,27,1,1015.7,18.4,41,1.8,0,0.6
2025/2/5 12:00,1,0.9,0.29,42,36,21,11,10,11.5,2,0.3,15,26,1,1014.8,18.7,41,2.5,0,0.1
2025/2/5 13:00,1,0.6,0.27,46,37,22,11,10,11.6,2.1,0.3,14,24,1,1014,19.1,42,1.9,0,0.2
2025/2/5 14:00,1,0.4,0.27,48,38,24,14,9,10.4,1.6,0.3,14,24,1,1013.3,18.9,41,1,0,0.2
2025/2/5 15:00,1,0.5,0.28,46,40,22,10,10,11.2,1.3,0.3,13,23,1,1013.3,18.5,44,1.7,0,0
2025/2/5 16:00,1,0.6,0.28,40,41,22,12,11,12.9,1.4,0.3,13,23,1,1013.4,17.9,49,1.5,0,0
2025/2/5 17:00,1,0.4,0.32,33,41,23,11,15,16.2,1.3,0.2,13,24,1,1014,17.2,52,1.6,0,0
2025/2/5 18:00,1,0.3,0.39,26,40,30,18,20,21.1,1.3,0.3,13,24,1,1014.1,16.2,56,2.2,0,0
2025/2/5 19:00,1,0.3,0.43,22,38,29,15,21,22.1,1,0.3,14,25,1,1014.5,15.2,61,1.1,0,0
2025/2/5 20:00,1,0.5,0.42,22,36,24,12,20,20.8,0.9,0.3,14,25,1,1015.7,14.6,64,1.4,0,
2025/2/5 21:00,1,0.8,0.47,16,32,26,14,24,24.6,1.1,0.3,14,25,1,1016,14.4,64,0.8,0,
2025/2/5 22:00,1,1,0.4,21,28,22,13,21,22.2,1.1,0.3,13,24,1,1016.4,14.1,70,0.6,0,
2025/2/5 23:00,1,0.5,0.38,23,26,17,11,16,16.4,0.8,0.3,12,22,1,1016.1,14.4,69,1,0,
2025/2/6 00:00,1,0.7,0.35,21,23,16,13,15,16,0.5,0.3,13,21,1,1015.8,14.7,67,0.4,0,
2025/2/6 01:00,1,0.8,0.3,23,22,,22,13,13.6,0.6,0.3,14,20,1,1015.4,14.8,68,0.8,0,
2025/2/6 02:00,1,1.7,0.26,26,22,21,9,9,9.5,0.4,0.3,14,20,1,1015,14.9,71,1.3,0,
2025/2/6 03:00,1,1.5,0.27,24,22,9,10,10,10.9,0.4,0.3,13,18,1,1014.9,14.8,73,0.3,0,
2025/2/6 04:00,1,1.4,0.25,27,23,14,11,8,8.8,0.4,0.3,13,17,1,1014.7,14.7,75,1.2,0,
2025/2/6 05:00,1,1.4,0.25,27,24,24,23,9,9.2,0.3,0.3,14,19,1,1014.8,14.6,78,0.9,0,
2025/2/6 06:00,1,1.4,0.25,26,25,12,8,8,8.3,0.3,0.2,13,17,1,1015.3,14.8,78,0.8,0,0
2025/2/6 07:00,1,1.3,0.26,25,25,10,13,10,10.6,0.3,0.2,14,16,1,1016.3,14.8,78,0.2,0,0
2025/2/6 08:00,1,1.3,0.38,18,25,16,10,16,17.5,1,0.2,13,16,1,1016.4,14.9,79,0.7,0,0
2025/2/6 09:00,0,1.4,0.43,17,24,8,10,21,23.6,2.5,0.2,12,13,0,1016.8,15.3,79,0.8,0,0
2025/2/6 10:00,3,1.7,0.46,16,22,19,11,23,26.3,3.5,0.3,12,14,0,1016.7,15.9,76,1.4,0,0
2025/2/6 11:00,0,1.7,0.4,23,22,13,8,20,23.7,3.8,0.3,11,14,0,1015.6,16.8,73,1.4,0,0
2025/2/6 12:00,0,,0.37,27,22,16,,17,21.2,3.9,0.3,11,14,0,1014.4,17.6,70,1.8,0,0
2025/2/6 13:00,0,1.1,0.34,12,21,,,14,17.4,3.5,0.3,10,15,0,1013.3,19.8,62,0.4,0,0.2
2025/2/6 14:00,0,1,0.33,24,20,13,15,12,14.2,2.1,0.3,12,14,1,1012.4,20.1,56,0.5,0,0
2025/2/6 15:00,1,0.9,0.36,32,21,23,13,13,14.4,1.3,0.3,13,16,1,1012.4,19.5,55,0.6,0,0
2025/2/6 16:00,1,0.9,0.36,32,23,21,16,14,15.2,1.1,0.3,14,17,1,1012.8,19.1,68,1.9,0,0
2025/2/6 17:00,1,1.4,0.4,22,23,21,15,20,21.4,1.2,0.3,13,17,1,1013.5,18.6,70,1.2,0,0
2025/2/6 18:00,1,1,0.48,17,24,20,17,25,25.7,1,0.3,14,18,1,1014.3,17.4,76,1.7,0,0
2025/2/6 19:00,1,0.9,0.56,11,22,27,17,28,28.7,0.9,0.4,15,20,1,1015,17,78,1.5,0,0
2025/2/6 20:00,1,1.4,0.6,7,20,21,18,32,33.6,1.3,0.4,15,20,1,1015.5,16.6,80,0.8,0,
2025/2/6 21:00,1,0.9,0.49,10,19,18,15,29,29.9,1.3,0.4,16,20,1,1015.2,16.3,81,0.8,0,
2025/2/6 22:00,1,0.5,0.46,17,19,14,15,20,20.9,0.6,0.4,16,19,1,1015.6,16.5,81,0.9,0,
2025/2/6 23:00,1,0.6,0.36,24,18,11,11,16,16.8,0.5,0.4,15,17,1,1016.1,16,84,1.7,0,
2025/2/7 03:00,0,0.9,0.24,38,25,7,11,6,6.8,0.8,0.3,12,13,1,1016.2,16.3,86,1.1,0,
2025/2/7 02:00,0,1.2,0.24,41,22,10,8,5,5.9,0.7,0.4,12,14,1,1016.7,16,89,1.7,0,
2025/2/7 01:00,1,1.3,0.24,36,19,12,9,9,9.5,0.2,0.4,13,14,1,1016.5,15.8,93,1,T,
2025/2/7 00:00,1,1,0.26,30,17,11,13,12,12.3,0.2,0.4,14,15,1,1016.1,15.8,95,0.5,T,
2025/2/7 04:00,0,1,0.26,38,29,4,6,6,6.9,0.7,0.3,11,11,1,1016,15.2,94,2.2,T,
2025/2/7 05:00,0,1,0.26,43,33,0,6,4,5.3,0.8,0.2,10,9,1,1016.8,14,94,3.7,T,
2025/2/7 06:00,0,1,0.26,43,37,0,5,4,4.5,0.6,0.2,9,7,1,1017.3,13.8,93,3.1,T,0
2025/2/7 07:00,0,1.4,0.27,42,39,5,5,5,6.2,0.7,0.2,8,5,1,1017.6,13.7,92,3.7,0,0
2025/2/7 08:00,0,1.8,0.3,39,40,4,6,8,8.5,0.8,0.2,7,5,1,1018.3,13.8,90,3.2,T,0
2025/2/7 09:00,0,2.1,0.31,37,40,3,7,10,11,0.9,0.2,7,4,1,1019.5,14,88,3.7,0,0
2025/2/7 10:00,0,2.2,0.27,38,40,7,4,9,9.9,1.2,0.2,6,5,1,1019.7,14.1,88,3.5,0,0
2025/2/7 11:00,0,2.1,0.29,35,40,8,5,10,12.1,1.7,0.2,6,5,1,1018.9,13.9,87,3.8,0,0
